POINTID,NUTS_0,Lucas2009,Lucas2012,Lucas2015,Lucas2018,Coarse,Clay,Sand,Silt,PSDAvailable,TextureFromSurvey,USDA,ISSS
36783234,UK,YES,NO,YES,NO,9,31,35,35,Yes,2009,clay loam,silty clay loam
36783148,UK,YES,NO,YES,YES,20,32,10,58,Yes,2009,silty clay loam,silty clay loam
36782982,FR,YES,NO,YES,YES,14,15,7,78,Yes,2009,silt loam,silty loam
36782824,FR,YES,NO,YES,NO,39,17,28,56,Yes,2009,silt loam,silty loam
36782798,FR,YES,NO,NO,NO,6,28,4,68,Yes,2009,silty clay loam,silty clay loam
36782730,FR,YES,NO,YES,YES,5,16,68,16,Yes,2009,sandy loam,loam
36782716,FR,YES,NO,YES,YES,4,14,20,67,Yes,2009,silt loam,silty loam
36782680,FR,YES,NO,YES,NO,13,38,21,42,Yes,2009,clay loam,silty clay loam
36782654,FR,YES,NO,YES,YES,7,13,43,44,Yes,2009,loam,silty loam
36782572,FR,YES,NO,YES,YES,7,25,42,33,Yes,2009,loam,silty loam
36782374,FR,YES,NO,YES,YES,12,18,54,28,Yes,2009,sandy loam,silty loam
36782338,FR,YES,NO,NO,NO,3,33,41,26,Yes,2009,clay loam,silty clay loam
36763388,UK,YES,NO,YES,YES,7,29,12,59,Yes,2009,silty clay loam,silty clay loam
36763172,UK,YES,NO,YES,YES,31,21,17,63,Yes,2009,silt loam,silty loam
36762848,FR,NO,NO,NO,YES,,,,,No,,,
36762776,FR,YES,NO,NO,YES,4,32,7,61,Yes,2009,silty clay loam,silty clay loam
36762740,FR,YES,NO,YES,YES,2,4,90,6,Yes,2009,sand,loamy sand
36762398,FR,YES,NO,YES,NO,9,50,4,46,Yes,2009,silty clay,silty clay
36762278,FR,YES,NO,YES,NO,12,35,22,44,Yes,2009,clay loam,silty clay loam
36762236,FR,NO,NO,YES,NO,22,8,61,31,Yes,2015,sandy loam,silty loam
36762164,ES,NO,NO,YES,YES,33,15,50,35,Yes,2015,loam,silty loam
36743306,UK,NO,NO,NO,YES,,,,,No,,,
36743132,UK,YES,NO,NO,NO,50,39,9,52,Yes,2009,silty clay loam,silty clay loam
36743000,FR,YES,NO,YES,YES,8,15,6,80,Yes,2009,silt loam,silty loam
36742982,FR,YES,NO,YES,YES,8,12,4,84,Yes,2009,silt,silty loam
36742906,FR,YES,NO,YES,YES,8,21,10,70,Yes,2009,silt loam,silty loam
36742852,FR,YES,NO,YES,YES,5,14,6,80,Yes,2009,silt loam,silty loam
36742748,FR,YES,NO,YES,YES,5,16,55,29,Yes,2009,sandy loam,silty loam
36742682,FR,YES,NO,YES,NO,5,29,23,48,Yes,2009,clay loam,silty clay loam
36742640,FR,YES,NO,YES,NO,24,13,45,43,Yes,2009,loam,silty loam
36742628,FR,YES,NO,YES,NO,13,19,54,27,Yes,2009,sandy loam,silty loam
36742604,FR,YES,NO,YES,YES,25,17,51,32,Yes,2009,loam,silty loam
36742492,FR,YES,NO,YES,YES,6,18,56,26,Yes,2009,sandy loam,silty loam
36742474,FR,YES,NO,YES,YES,13,19,40,41,Yes,2009,loam,silty loam
36742448,FR,YES,NO,YES,YES,38,35,7,58,Yes,2009,silty clay loam,silty clay loam
36742412,FR,YES,NO,YES,NO,42,27,20,53,Yes,2009,silt loam,silty clay loam
36742334,FR,NO,NO,NO,YES,,,,,No,,,
36742316,FR,YES,NO,NO,NO,11,44,26,30,Yes,2009,clay,silty clay
36742312,FR,YES,NO,YES,NO,17,35,18,47,Yes,2009,silty clay loam,silty clay loam
36742172,ES,NO,NO,YES,YES,39,14,28,58,Yes,2015,silt loam,silty loam
36742088,ES,YES,NO,YES,YES,21,26,34,41,Yes,2009,loam,silty loam
36723394,UK,YES,NO,YES,NO,12,28,38,35,Yes,2009,clay loam,silty clay loam
36723322,UK,YES,NO,NO,NO,7,28,51,21,Yes,2009,sandy clay loam,clay loam
36723304,UK,YES,NO,NO,NO,,,,,No,,,
36723286,UK,YES,NO,NO,NO,8,7,79,14,Yes,2009,loamy sand,loamy sand
36723244,UK,YES,NO,YES,YES,15,23,55,22,Yes,2009,sandy clay loam,loam
